fid,event_id,geom_ids,survey_dat,survey_d_1,agents,hosts,symptoms,survey_met,trigger_pr,trigger_se,trigger__1,trigger__2,country,silvicultu,sanitary_i,sanitary_1,sanitary_2,pattern_de,pattern_di,pattern_mo,pattern__1,severity_d,severity_1,severity_m,severity_2,is_affecte,dataset_co,SURVEYSTA
1,19607,40827,2011-06-03,exact,Dryocosmus kuriphilus,Castanea sativa,Defoliation,Field surveys,,,,,Italy,,,,,high-contiguous,,,,2.0,,,,1,IT-003,2011-06-03
2,19608,40828,2011-04-19,exact,Dryocosmus kuriphilus,Castanea sativa,Defoliation,Field surveys,,,,,Italy,Selective logging,,,,high-patchy,,,,2.0,,,,1,IT-003,2011-04-19
3,19609,40829,2011-05-05,exact,Dryocosmus kuriphilus,Castanea sativa,Defoliation,Field surveys,,,,,Italy,Selective logging,,,,high-contiguous,,,,,,,,1,IT-003,2011-05-05
4,19610,40830,2011-04-12,exact,Dryocosmus kuriphilus,Castanea sativa,Defoliation,Field surveys,,,,,Italy,Selective logging,,,,high-contiguous,,,,2.0,,,,1,IT-003,2011-04-12
5,19611,40831,2011-05-01,exact,Dryocosmus kuriphilus,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,,,Italy,,,,,,,,,,,,,1,IT-003,2011-05-01
6,19612,40832,2011-07-31,exact,Chalara fraxinea,Fraxinus excelsior,Defoliation,Field surveys,Pest/Disease,,,,Italy,Selective logging,,,,,low-patchy,,low-patchy,,1.0,,1.0,1,IT-003,2011-07-31
7,19613,40833,2009-04-01,exact,Ambrosiodmus rubricollis,Aesculus hippocastanum,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,,,low-patchy,low-patchy,,,1.0,1.0,1,IT-004,2009-04-01
8,19614,40834,2009-06-17,exact,Thaumetopoea pityocampa,Pinus nigra,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,low-patchy,,,,1.0,,,,1,IT-004,2009-06-17
9,19615,40835,2009-08-11,exact,Sphaeropsis sapinea,Pinus nigra,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,low-patchy,,low-patchy,,1.0,1.0,1.0,1,IT-004,2009-08-11
10,19616,40836,2009-05-20,exact,Yponomeuta sp.,Euonymus europaeus,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,low-patchy,,,,1.0,,,,1,IT-004,2009-05-20
11,19617,40837,2009-08-12,exact,Cryphonectria parasitica,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,,,low-patchy,,,1.0,1.0,1,IT-004,2009-08-12
12,19618,40838,2009-08-17,exact,Cryphonectria parasitica,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,,,high-contiguous,,,2.0,2.0,1,IT-004,2009-08-17
13,19619,40839,2009-06-25,exact,Heterobasidion annosum,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,low-patchy,,,,1.0,,,1,IT-004,2009-06-25
14,19620,40840,2009-07-02,exact,unknown fungus,Fagus sylvatica,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,,,low-patchy,,,1.0,1.0,1,IT-004,2009-07-02
15,19621,40841,2009-05-08,exact,Dryocosmus kuriphilus,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,,1.0,,,,1,IT-004,2009-05-08
16,19622,40842,2009-06-08,exact,Dryocosmus kuriphilus,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-patchy,,,,2.0,,,,1,IT-004,2009-06-08
17,19623,40843,2009-06-12,exact,Dryocosmus kuriphilus,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-contiguous,,,,1.0,,,,1,IT-004,2009-06-12
18,19624,40844,2009-05-07,exact,Xylosandrus germanus,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Clear cut,Clear cut,,,,low-patchy,high-patchy,low-patchy,,1.0,1.0,1.0,1,IT-004,2009-05-07
19,19625,40845,2009-06-26,exact,Sphaeropsis sapinea,Pinus sylvestris,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-contiguous,high-contiguous,,high-contiguous,2.0,2.0,2.0,2.0,1,IT-004,2009-06-26
20,19626,40846,2009-07-24,exact,Ips acuminatus,Pinus sylvestris,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,,,low-patchy,high-patchy,,2.0,2.0,2.0,1,IT-004,2009-07-24
